input_row_key,input_company_name,candidate_company_name,location_score,name_score,total_score
144,DNB Bank Karl Johan,DNB BANK,330.55,59.26,389.81
345,Nepa AB,Nepa Sweden AB.,325.77,63.64,389.40999999999997
84,CAMPANA GROUP PTE. LTD.,Campana Group,310.0,78.79,388.79
337,Monday. Kum Ltd.,Monday,325.15,63.16,388.30999999999995
14,ADAPT A/S,Co adapt,316.81,71.43,388.24
545,Trifork A/S,Trifork Academy,318.89,69.23,388.12
224,HETEK A/S,HETEK,314.84,71.43,386.27
450,"SHENZHEN SKYWORTH DIGITAL TECHNOLOGY CO., LTD.",Shenzhen Xinxiapu Digital Technology Devlopment Limited Company,322.26,63.16,385.41999999999996
305,LeasePlan Sverige AB,Leaseplan,322.34,62.07,384.40999999999997
70,BEAT A/S,Beat,316.81,66.67,383.48
448,"Shenzhen Huaptec Co., Ltd",Shenzhen Aomiou Technology Co. Ltd.,322.26,61.22,383.48
93,CIBICOM SERVICES A/S,Cibicom A/S.,318.95,64.29,383.24
248,Huber+Suhner AG,HUBER SUHNER Sales Partners,323.5,59.46,382.96
153,"Eastcompeace Technology Co.,Ltd",Eastcompeace Smart Card Co. Ltd.,320.4,61.22,381.62
313,Manpower Student AB,Manpower,322.34,59.26,381.59999999999997
205,Goecker Service A/S,Goecker since 1862,316.81,64.71,381.52
294,KM TELECOM DANMARK A/S,KM TELECOM,324.11,57.14,381.25
121,DANSK SUNDHEDSSIKRING KOMPLEMENTARSELSKAB ApS,Dansk Sundhedssikring,316.81,63.64,380.45
177,ERP DENMARK ApS,Batteriindsamling ERP Denmark ApS.,316.16,63.83,379.99
53,Atea A/S,Atea Danmark,318.95,60.0,378.95
336,MODULEX DANMARK A/S,Modulex manufacturing,317.31,60.0,377.31
245,HUAWEI TECHNOLOGIES PAKISTAN (PRIVATE) LIMITED,HUAWEI Pakistan,320.2,56.6,376.8
542,"Tradium, Erhvervsskole og - gymnasier, Randers S/I",Tradium Mariagervej Randers Kom,320.0,55.7,375.7
118,BONNIER BUSINESS PRESS A/S,Bonnier Magazine Data,316.81,57.78,374.59000000000003
38,Annalect Denmark A/S,ANNALECT,316.81,57.14,373.95
412,QLIKTECH DENMARK ApS,Qliktech,316.81,57.14,373.95
234,HP INC (THAILAND) COMPANY LIMITED,HP Inc Thailand Ltd.,290.75,76.47,367.22
564,MV-NORDIC A/S,Mv-nordic Danmark,293.39,73.33,366.71999999999997
276,ITECTRA A/S,Itectra,281.43,77.78,359.21000000000004
383,ORACLE DANMARK APS,Oracle DBA DK,283.64,64.52,348.15999999999997
113,CRAYON PTE. LTD.,Crayon Creation,289.23,57.14,346.37
124,DEAS A/S,DEAS Group,290.1,55.56,345.66
478,Starcom FZ-LLC,Starcominfo,288.39,57.14,345.53
24,AIA Berhad,AIA PRS,284.72,58.82,343.54
385,ORACLE SVENSKA AB,Oracle Database,280.0,62.5,342.5
435,Salling Group Forsikring A/S,Salling Group,280.44,59.46,339.9
527,TELENOR SVALBARD AS,GO-S VALBARD,280.0,58.06,338.06
246,Huawei Technologies Sweden AB,Huawei Sweden Hackathon,280.0,57.69,337.69
254,Idemia France SAS,Idemia,280.0,57.14,337.14
212,Grassfish Denmark ApS,playscapes Denmark,280.44,56.41,336.85
188,FACEBOOK IRELAND LIMITED,Facebook 3,258.6,69.23,327.83000000000004
270,IPG MEDIABRANDS (SINGAPORE) PTE. LTD.,IPG Mediabrands APAC,255.98,66.67,322.65
433,SALESFORCE UK LIMITED,The Salesforce PM,249.07,69.23,318.3
534,Thales DIS Sweden AB,Thales Sverige AB.,251.05,63.16,314.21000000000004
150,Dynamic-Telecommunication Sdn. Bhd.,Dynamic-Telecommunication Sdn Bhd.,214.49,98.46,312.95
284,JONES LANG LASALLE PROPERTY CONSULTANTS PTE LTD,Jones Lang Lasalle Property Consultants Pte. Ltd.,216.65,96.3,312.95
279,Jastel Network Co Ltd,Jastel,250.05,60.0,310.05
290,Kerry Logistics Network Limited,Kerry Logistics,230.74,78.95,309.69
250,Hum Network Limited,Hum Network,208.96,100.0,308.96000000000004
390,"Paco Casa Co.,Ltd.",PACO CASA a,233.37,75.0,308.37
194,DANSK HALON TEKNIK ApS,Dansk Iso Teknik,232.92,73.68,306.6
222,HERM. RASMUSSEN A/S,Ole Rasmussen,236.08,68.75,304.83000000000004
203,GLOBALCONNECT A/S,K&L Global Connect,233.84,70.97,304.81
36,MASON SITE FINDER LIMITED,R Mason Site Services Ltd.,239.76,65.0,304.76
473,Southern Cable Sdn. Bhd.,Southern Nine Sdn. Bhd.,219.36,85.11,304.47
496,TATA COMMUNICATIONS INTERNATIONAL PTE. LTD.,TATA COMMUNICATIONS DIGO,237.33,66.67,304.0
312,MAKIO ApS,MAKIO,230.44,71.43,301.87
39,Anne Mette Lund,Anne Mette Høy,225.39,75.86,301.25
67,Bb Technology Co Ltd,BB Air Technology Company Limited,229.0,72.22,301.22
446,"SHANDONG SACRED SUN POWER SOURCES CO., LTD",Shandong Faithwit Power Sources Co. Ltd.,227.82,72.46,300.28
187,F5 NETWORKS LIMITED,F5 Networks Inc.,208.26,91.67,299.93
199,GBT TRAVEL SERVICES UK LIMITED,GBT CAD Services,224.1,73.68,297.78
120,Dansk Kredit Rad,Dansk Kredit Råd,203.5,93.75,297.25
218,HE SIKRING A/S,AL-SIKRING,238.81,58.33,297.14
326,META PLATFORMS IRELAND LIMITED,META World,240.06,56.25,296.31
89,CETIN Hungary Zrt.,CETIN Hungary,212.24,83.87,296.11
167,ENETEK POWER SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,Spółka OLOGROUP Spółka z ograniczoną odpowiedzialnością,223.7,71.03,294.73
173,ERICSSON AS,ERICSSON & GEHRKEN,231.42,62.07,293.49
140,DIGI TELECOMMUNICATIONS SDN BHD,DIGI TELECOMMUNICATIONS SDN BHD Terengganu,209.36,84.06,293.42
49,Arelion AB,Arelion,211.04,82.35,293.39
2,3 STEP IT A/S,3 Step IT A/S.,196.65,96.3,292.95
421,RED HAT LIMITED,Red PR Limited,231.06,61.54,292.6
503,TECH MAHINDRA (THAILAND) COMPANY LIMITED,Pure Tech Thailand Company Limited,222.1,70.37,292.47
72,BIGID INC.,BigID,207.99,83.33,291.32
409,Publicis Groupe Holdings B.V.,Publicis Groupe,218.0,73.17,291.17
471,SONY MOBILE COMMUNICATIONS AB,Sony Network Communications Europe,222.62,67.8,290.42
419,RAPID7 INTERNATIONAL LIMITED,Rapid 7 EMEA Internal Moose,226.3,63.83,290.13
529,Teliti Teknik Sdn Bhd,TELITI TEKNIK,212.87,76.47,289.34000000000003
584,ZENDATA ApS,Zendata,211.55,77.78,289.33000000000004
484,Sutera Utama Sdn. Bhd.,Sutera Utama Sdn. Bhd.,189.19,100.0,289.19
367,NTT DATA Business Solutions Korlatolt Felelossegu Tarsasag,NTT DATA Business Solutions Hungary,219.27,69.66,288.93
415,"QUALTRICS, LLC",Qualtrics LLC.,194.16,92.86,287.02
392,PARENT AND FAMILY CONSULTING LIMITED,Family Law Consultancy,229.97,56.52,286.49
100,COMBA TELECOM LIMITED,Comba Telecom,186.16,100.0,286.15999999999997
571,WIPRO LIMITED,Wipro Limited,185.46,100.0,285.46000000000004
52,ASIAINFO DENMARK ApS,Norm Denmark,222.68,62.5,285.18
363,NORWEGIAN AIR SHUTTLE AS (PS),Norwegian Air Shuttle,200.98,84.0,284.98
164,ELGIGANTEN GROSSIST A/S,Elgiganten,224.12,60.61,284.73
405,PRICEWATERHOUSECOOPERS STATSAUTORISERET REVISIONSPARTNERSELSKAB,Statsautoriseret Revisionsanpartsselskab Thomas Viscovich,222.68,61.82,284.5
128,Dell Corporation (Thailand) Co Ltd,Dellstore Thailand,207.5,76.47,283.97
174,ERICSSON DANMARK A/S,Ericsson,226.71,57.14,283.85
488,Systems Limited,B2B Systems,205.94,77.78,283.72
467,SNOW AS,Snow Stock,212.94,70.59,283.53
304,LEASE PLAN FINANS A/S,Lease Logic Aps.,223.98,59.46,283.44
432,"SAILPOINT TECHNOLOGIES, INC.",SAILPOINT TECHNOLOGIES,190.13,93.02,283.15
530,Textilia Group A/S,Textilia Group A S Lyngby,203.8,79.07,282.87
56,NP Investment A/S,Np International A/S.,227.05,55.56,282.61
247,HUBER+SUHNER A/S,Huber Suhner A/S.,191.38,90.91,282.28999999999996
116,"CUSHMAN & WAKEFIELD SERVICES (THAILAND) CO., LTD.",Cushman & Wakefield Services Thailand Co. Ltd.,185.79,96.47,282.26
370,Ntt Msc Sdn. Bhd.,NTT MSC,223.81,58.33,282.14
106,CONSCIA DANMARK A/S,Conscia Holdco A/S.,212.82,68.75,281.57
209,GOOGLE COMMERCE LIMITED,Google Commerce Limited,180.94,100.0,280.94
271,Ipsos Sdn. Bhd.,Ipsos Sdn Bhd.,184.27,96.55,280.82
152,EASTCOMPEACE SMART CARD (BANGLADESH) LIMITED,Eastcompeace Smart Card Bangladesh Limited.,186.31,94.12,280.43
301,KROLL ASSOCIATES U.K. LIMITED,Kroll Interiors,224.32,55.56,279.88
273,ISS FACILITY SERVICES AB,ISS Faciliy Services AB.,184.02,95.83,279.85
18,ADVANCED DIGITAL BROADCAST SA,Advanced Digital Broadcast Holdings SA.,197.21,82.54,279.75
138,DIAL ZERO (PRIVATE) LIMITED,DIAL ZERO,213.62,64.29,277.91
510,TELENOR BROADCAST HOLDING AS,Nordic Broadcast,218.62,59.09,277.71000000000004
168,ENERGI HOBRO TELE A/S,Energi Danmark Securities A/S.,217.54,58.82,276.36
413,QlikTech International Markets AB,QLIKTECH INTERNATIONAL MARKETS AB.,177.22,98.51,275.73
207,Google Asia Pacific Pte. Ltd.,Google Asia Pacific Pte. Ltd.,175.53,100.0,275.53
346,NERAS DIREKTE AS,Direkte Frakt,212.93,62.07,275.0
395,PING IT A/S,Ping IT,196.85,77.78,274.63
133,DELOITTE STATSAUTORISERET REVISIONSPARTNERSELSKAB,Revisto Statsautoriseret Revisionspartnerselskab,186.24,88.17,274.41
403,DATA SCANNING A/S,Scanning,209.16,64.0,273.15999999999997
475,SPORTS STAR INTERNATIONAL (PRIVATE) LTD.,Sports Star International Pvt Ltd.,186.95,86.15,273.1
79,BRAINCHILD COMMUNICATIONS PAKISTAN (PVT.) LIMITED,Brainchild Communications Pakistan,179.37,93.55,272.92
239,HUAWEI INTERNATIONAL PTE. LTD.,Huawei Enterprise,213.46,59.09,272.55
585,ZHONGXING TELECOM PAKISTAN (PRIVATE) LIMITED,ZTE Zhongxing Telecom Pakistan Pvt Ltd.,195.18,76.92,272.1
16,ADECCO PERSONNEL PTE LTD,Adecco Corporation Pte. Ltd.,212.08,60.0,272.08000000000004
309,L.M. Ericsson Bangladesh Ltd.,LM Ericsson Bangladesh Ltd.,176.07,96.0,272.07
44,APPLE DISTRIBUTION INTERNATIONAL LIMITED,Apple Distribution International,171.23,100.0,271.23
451,SHIELDS ENVIRONMENTAL GROUP LTD,Shields Group,202.63,68.42,271.05
464,Smartly.io Holding Inc,SF Holding,206.62,64.29,270.91
499,TCT MOBILE INTERNATIONAL LTD.,Mobile Tech International HK Co Ltd.,193.07,77.19,270.26
119,DAILY JURRAT,Daily Dunya,200.39,69.57,269.96
424,RETAIL FOCUS A/S,Retail advice,214.31,55.17,269.48
289,KERRY FREIGHT PAKISTAN (PRIVATE) LIMITED,Kerry Freight Pakistan PVT LTD.,187.8,80.7,268.5
170,Ericsson (Malaysia) Sdn. Bhd.,Ericsson Telecommunications Sdn. Bhd.,199.54,68.75,268.28999999999996
425,REVEALCX LLC,RevealCX Inc.,186.34,81.82,268.15999999999997
215,grey advertising ( bangladesh) ltd.,ADVERTISING BANGLADESH,186.31,81.48,267.79
583,Zalaris HR Services Sverige AB,Zalaris HR Services Sverige AB.,169.14,98.36,267.5
172,ERICSSON AB,Ericsson,183.23,84.21,267.44
382,Oracle Corporation Malaysia Sdn. Bhd.,Tdata Corporation Malaysia Sdn. Bhd.,184.27,82.35,266.62
211,GRAMEENPHONE LTD,Grameen Phone Center Nandail,206.1,60.0,266.1
369,Ntt Malaysia Solutions Sdn. Bhd.,Malaysia SMS Solutions,199.06,66.67,265.73
422,Red Hat Malaysia Sdn. Bhd.,Red Seal Malaysia,200.04,65.12,265.15999999999997
466,Snow Software ApS,Snow Gale Labs,200.55,64.52,265.07
226,Hewlett-Packard (Thailand) Ltd.,Hewlett-Packard Thailand Company Limited,178.51,86.21,264.71999999999997
454,Siae-microelettronica - S.p.a.,SIAE MICROELETTRONICA,185.64,78.43,264.07
474,Splunk Inc.,Splunk,175.58,85.71,261.29
169,Enreach Campaigns A/S,Campaigns,200.55,60.0,260.55
264,inlumi ApS,InLumi DOT,190.47,70.0,260.47
230,HEWLETT-PACKARD SVERIGE AB,Hewlett-Packard Sverige AB.,161.8,98.11,259.91
356,NOKIA SERVICES AND NETWORKS MALAYSIA SDN. BHD.,Nokia Solutions And Networks Sdn Bhd.,184.27,74.7,258.97
148,DXC TECHNOLOGY NORGE AS,DXC Technology Norge AS,158.32,100.0,258.32
143,DNA OYJ,DNA Oy.,172.5,85.71,258.21
13,"ACOME XINTAI CABLES CO., LTD.",Acome Xintai Cables Co. Ltd.,160.24,97.67,257.91
546,True Move H Universal Communication Co Ltd,True Move H Universal Communication Company Limited,166.14,91.18,257.32
330,ABC KANTINEAUTOMATER ApS,ABC Spilleautomater,187.33,69.77,257.1
11,Accutics ApS,Accutics,176.42,80.0,256.41999999999996
206,GOGIFT.COM A/S,GoGift,188.58,66.67,255.25
581,Zalaris HR Services Finland Oy,Music Aggregation Services Finland Oy.,187.91,66.67,254.57999999999998
137,DHL EXPRESS (SINGAPORE) PTE. LTD.,DHL Express Singapore,172.2,82.35,254.54999999999998
265,INSIDER SECURITY PTE. LTD.,InsiderSecurity,175.53,78.95,254.48000000000002
149,DXC Technology Sverige AB,DXC Technology Sverige AB.,156.22,98.04,254.26
573,Wire & Wireless Co Ltd,Ni wireless,177.11,76.92,254.03000000000003
189,Falck Danmark A/S,Falck Danmark,165.99,86.67,252.66000000000003
160,EGENCIA LLC,Egencia New Zealand,191.51,60.0,251.51
404,PostNord Stralfors AB,PostNord Stralfors,158.88,92.31,251.19
325,MEISEL EIENDOM AS,Meisel AS,181.85,69.23,251.07999999999998
227,HEWLETT-PACKARD ApS,Hewlett-Packard ApS.,153.24,97.44,250.68
78,Braathens Regional Airways AB,BRAATHENS REGIONAL AIRWAYS AB.,151.64,98.31,249.95
343,NEC Scandinavia Aktiebolag,Scandinavian Packages,180.17,69.77,249.94
563,VIRTUAL WORLD (PVT.) LIMITED,Tape World,187.8,59.26,247.06
129,DELL PRODUCTS,DELL Repairs,180.94,64.0,244.94
4,3 Step IT Sweden AB,Proact IT Sweden,181.21,62.86,244.07
146,Dtac Trinet Co Ltd,Dtac-trinet,152.67,90.91,243.57999999999998
109,"COUPA SOFTWARE, INC.",Coupa Software India Pvt. Ltd.,167.79,75.68,243.47
66,"BB CONNECT CO.,LTD.",Bb connect,162.38,80.0,242.38
280,JLL Corporate Solutions AB,JLL CORPORATE SOLUTIONS AB.,143.53,97.78,241.31
414,QlikTech Nordic AB,QLIKTECH INTERNATIONAL AB.,177.22,63.64,240.86
357,NOKIA SOLUTIONS AND NETWORKS NORGE AS,Nokia solutions And Networks Norge AS,139.2,100.0,239.2
442,SCHNEIDER ELECTRIC DANMARK A/S,Schneider Electric Denmark A/S.,143.31,95.08,238.39
185,EXPRESS PUBLICATIONS (PVT.) LIMITED,Al Huda Publications,179.07,59.09,238.16
372,OK A.M.B.A.,OK a.m.b.a,141.86,95.24,237.10000000000002
156,ECI MEDIA MANAGEMENT AB,ECI Media Management,143.53,92.31,235.84
263,Ingram Micro Mobility Sweden AB,INGRAM MICRO NORDIC LOGISTICS AB.,165.77,68.75,234.52
111,CRAYON A/S,Crayon A/S.,138.61,95.24,233.85000000000002
60,Aviat Networks Japan LLC,Aviat Networks,160.0,73.68,233.68
88,CENTERFORENINGEN FISKETORVET SHOPPING CENTER F.M.B.A.,Centerforeningen Borgergården,177.4,56.1,233.5
465,SNOW SOFTWARE AB,SNOW SOFTWARE,143.53,89.66,233.19
259,INDEPENDENT MEDIA CORPORATION (PRIVATE) LIMITED.,Independent Pak Media,166.31,66.67,232.98000000000002
233,HOPPECKE BATTERIEN GMBH & CO. KG,Hoppecke Batterien bremecketal,159.37,71.43,230.8
278,AEON DANMARK A/S,Aeon art,172.11,58.33,230.44
498,TATA CONSULTANCY SERVICES SVERIGE AB,Tata Consultancy Services. Sep,146.4,83.87,230.27
297,KOLEGRUPPEN OST ApS,Kølegruppen Øst ApS.,142.76,87.18,229.94
394,Varsta Software,Varsta Petri,161.87,66.67,228.54000000000002
323,Measat Satellite Systems Sdn. Bhd.,Measat Broadcast Systems Sdn Bhd.,152.54,75.41,227.95
443,Scrive AB,Scrive,146.4,80.0,226.4
401,Postnord Danmark (B2452),PostNord Danmark Rundt,150.88,73.91,224.79
508,TELENOR SHARED SERVICES DENMARK A/S,Company Shared Services International,161.53,62.86,224.39
50,ARY COMMUNICATIONS LIMITED,Unisoft Computer & Communication,164.5,59.09,223.59
535,TIETOEVRY NORWAY AS,Tietoevry Wearables,155.16,68.42,223.57999999999998
41,Aon Assessment Denmark A/S,Aon Invest A/S.,165.99,56.41,222.4
184,EXIDE TECHNOLOGIES AS,Exide Technologies avd Bergen,141.97,80.0,221.97
295,KMD Venture A/S,Venture Group A/S.,154.67,66.67,221.33999999999997
368,ITELLIGENCE A/S,Itelligencedeblog,152.31,68.75,221.06
30,AMAZON WEB SERVICES EMEA SARL,Amazon Web Services EMEA,126.21,94.12,220.32999999999998
58,AV CENTER AALBORG ApS,AV CENTER,159.02,60.0,219.02
507,Telekom Malaysia Berhad,Telekom Malaysia,136.85,82.05,218.89999999999998
524,TELENOR REAL ESTATE AS,Real Estate AS,139.2,77.78,216.98
310,SCANOPTIK A/S,Scan. Tek. Optik ApS.,145.91,70.59,216.5
553,Unit Trust Of Pakistan,Virtual University of Pakistan VU,156.61,58.18,214.79000000000002
489,Systemteknik af 2021 A/S,System Teknik,149.92,64.86,214.77999999999997
8,A. T. KEARNEY PTE. LTD,Atkearney,147.5,66.67,214.17000000000002
219,HELP Forsakring filial,HELP Försäkring,143.53,68.57,212.1
59,aviat networks bangladesh ltd.,Aviat Networks,142.76,68.29,211.05
587,Zte (Malaysia) Corporation Sdn. Bhd.,Malaysia Power Corporation Sdn Bhd.,136.85,73.47,210.32
47,Apple South Asia (Thailand) Co Ltd,South East Asia Sails,151.57,56.52,208.09
582,ZALARIS HR SERVICES NORWAY AS,Aviation Fuelling Services Norway,146.0,61.29,207.29
331,NW GRUPPEN A/S,SJ Gruppen,140.35,66.67,207.01999999999998
513,TELENOR DANMARK HOLDING A/S,Danpor Agri Holding A/S.,136.04,69.39,205.43
492,Talend Sweden AB,Talend sa.,145.57,58.33,203.89999999999998
192,Fiberail Sdn. Bhd.,Fiberail Sdn Bhd - Rasah,123.21,80.0,203.20999999999998
538,Tm Technology Services Sdn. Bhd.,Logistics Operation Kuching TM Technology Services Sdn. Bhd.,130.85,69.57,200.42
10,ACCENTURE SERVICES AS,Accenture Norge,139.2,61.11,200.31
157,Edotco Group Sdn. Bhd.,EDOTCO Group,132.7,66.67,199.37
161,EGENCIA NORWAY AS,Egencia,139.53,58.33,197.86
518,TELENOR LDI COMMUNICATIONS (PVT.) LIMITED,Telenor Franchise Brainz Communication,132.21,65.62,197.83
12,ACOME,Acome Waga,131.05,66.67,197.72000000000003
455,Sievo Oy,Sievo Auto's,122.41,70.0,192.41
579,YINDA TECHNOLOGY (THAILAND) COMPANY LIMITED,Yinda Technology,123.18,65.31,188.49
516,TELENOR GLOBAL SHARED SERVICES PAKISTAN (PRIVATE) LIMITED,Environmental Services Pakistan,128.17,58.97,187.14
317,JLT Denmark A/S,Colas Danmark,125.16,61.54,186.7
